,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
136,2.0,62.0,86.0,0.0,0.25011515318040634
137,2.0,62.0,67.0,0.0,0.26733609489079474
138,2.0,62.0,87.0,0.0,0.17819329215701202
139,2.0,62.0,50.0,0.0,0.29842859735075306
140,2.0,62.0,37.0,0.0,0.3425361688015587
141,2.0,62.0,11.0,0.0,0.11517018779342723
142,2.0,62.0,68.0,0.0,0.2766403224026017
143,2.0,62.0,65.0,0.0,0.36353678262115846
144,2.0,62.0,47.0,0.0,0.056248305773922466
145,2.0,62.0,97.0,0.0,0.17652397710439643
146,2.0,62.0,3.0,0.0,0.2811954102120287
147,2.0,62.0,64.0,0.018518518518518517,0.18871283575502368
148,2.0,62.0,40.0,0.0,0.01951748441312009
149,2.0,62.0,82.0,0.0,0.03767187441459668
150,2.0,62.0,83.0,0.0,0.17223377483030156
151,2.0,62.0,73.0,0.016666666666666666,0.18330383918704599
152,2.0,62.0,52.0,0.0,0.1498558463876383
153,2.0,62.0,36.0,0.0,0.10615079365079365
154,2.0,62.0,4.0,0.023255813953488372,0.02617692238185597
155,2.0,62.0,43.0,0.06153846153846154,0.11807051596527526
156,2.0,62.0,96.0,0.0,0.048877676129397335
157,2.0,62.0,51.0,0.0136986301369863,0.17360770238805073
158,2.0,62.0,10.0,0.0,0.016582879486105293
159,2.0,62.0,32.0,0.04093567251461988,0.13444449260912913
160,2.0,62.0,12.0,0.0,0.08427583893867968
161,2.0,62.0,35.0,0.0,0.004739336492890996
162,2.0,62.0,54.0,0.06557377049180328,0.06142728093947606
163,2.0,62.0,8.0,0.0,0.2938532668878149
164,2.0,62.0,19.0,0.0,0.27980002640179535
165,2.0,62.0,18.0,0.014705882352941176,0.18894102446025154
166,2.0,62.0,69.0,0.0,0.18176839131057923
167,2.0,62.0,94.0,0.0,0.18176839131057923
168,3.0,32.0,59.0,0.24778761061946902,0.26136363636363635
169,3.0,32.0,23.0,0.043010752688172046,0.1532469814520215
170,3.0,32.0,58.0,0.2127659574468085,0.16127679961672056
171,3.0,32.0,13.0,0.23809523809523808,0.21652065081351687
172,3.0,32.0,80.0,0.4262295081967213,0.25994744744744747
173,3.0,32.0,98.0,0.10526315789473684,0.06590151795631247
174,3.0,32.0,62.0,0.043010752688172046,0.1472177669888884
175,3.0,32.0,84.0,0.2195874301137459,0.10439144678275113
176,3.0,32.0,55.0,0.6571428571428571,0.1235979292493529
177,3.0,32.0,75.0,0.15,0.09408664858787813
178,3.0,32.0,57.0,0.31724137931034485,0.13455466932535726
179,3.0,32.0,16.0,0.4699703743603555,0.19835101609026856
180,3.0,32.0,53.0,0.04878048780487805,0.17365090978065006
181,3.0,32.0,77.0,0.04878048780487805,0.17365090978065006
182,3.0,32.0,39.0,0.04878048780487805,0.23591702045898638
183,3.0,32.0,99.0,0.2222222222222222,0.18018018018018017
184,3.0,32.0,17.0,0.20456178160919541,0.1379369800422432
185,3.0,32.0,28.0,0.3558282208588957,0.12421043103246084
186,3.0,32.0,31.0,0.6341463414634146,0.1989401691552678
187,3.0,32.0,88.0,0.5054945054945055,0.21770774448841151
188,3.0,32.0,78.0,0.21004901960784314,0.10027683326813709
189,3.0,32.0,38.0,0.18984962406015038,0.16376515349961654
190,3.0,32.0,15.0,0.06666666666666667,0.07177260331145005
191,3.0,32.0,34.0,0.08571428571428572,0.06013381598522066
192,3.0,32.0,86.0,0.08571428571428572,0.06013381598522066
193,3.0,32.0,67.0,0.19566960705693665,0.11242813033878776
194,3.0,32.0,87.0,0.11538461538461539,0.09799321667985306
195,3.0,32.0,50.0,0.08693540553666829,0.17930208845083107
196,3.0,32.0,37.0,0.23076923076923078,0.17136776512294
197,3.0,32.0,11.0,0.028169014084507043,0.04803609341825902
198,3.0,32.0,68.0,0.23076923076923078,0.17631616600003813
199,3.0,32.0,65.0,0.20833333333333334,0.10375494071146245
200,3.0,32.0,47.0,0.07407407407407407,0.11702127659574468
201,3.0,32.0,97.0,0.14120370370370372,0.06707291973414647
202,3.0,32.0,3.0,0.20833333333333334,0.08710217755443886
203,3.0,32.0,64.0,0.14962121212121213,0.07797914389033724
204,3.0,32.0,40.0,0.0,0.010638297872340425
205,3.0,32.0,82.0,0.07894736842105263,0.029411764705882353
206,3.0,32.0,83.0,0.3050847457627119,0.10872793268437551
207,3.0,32.0,73.0,0.13608156028368795,0.06505527420948617
208,3.0,32.0,52.0,0.24096385542168675,0.12376237623762376
209,3.0,32.0,36.0,0.16279069767441862,0.09839335382813644
210,3.0,32.0,4.0,0.1038961038961039,0.08064979873490512
211,3.0,32.0,43.0,0.3434343434343434,0.12128712871287128
212,3.0,32.0,96.0,0.017241379310344827,0.01652892561983471
213,3.0,32.0,51.0,0.29108255451713394,0.1443108699964768
214,3.0,32.0,10.0,0.011627906976744186,0.010638297872340425
215,3.0,32.0,32.0,0.9433962264150944,0.9545454545454546
216,3.0,32.0,12.0,0.24096385542168675,0.2262641898864809
217,3.0,32.0,35.0,0.0,0.0
218,3.0,32.0,54.0,0.10526315789473684,0.13513513513513514
219,3.0,32.0,8.0,0.10416666666666667,0.15939249274884087
220,3.0,32.0,19.0,0.20833333333333334,0.06742043551088778
221,3.0,32.0,18.0,0.5159313725490196,0.4989340642606974
222,3.0,32.0,69.0,0.1315639269406393,0.09535573122529645
223,3.0,32.0,94.0,0.19277426160337552,0.08636022897642087
224,4.0,3.0,59.0,0.10344827586206896,0.03726968174204355
