,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
0,0.0,52.0,59.0,0.058823529411764705,0.0952020202020202
1,0.0,52.0,23.0,0.14285714285714285,0.1630705792098197
2,0.0,52.0,58.0,0.03636363636363636,0.17172675521821631
3,0.0,52.0,13.0,0.05,0.17307692307692307
4,0.0,52.0,80.0,0.04,0.11801407141908934
5,0.0,52.0,98.0,0.196524064171123,0.10528767761472163
6,0.0,52.0,62.0,0.14285714285714285,0.11720326884261312
7,0.0,52.0,84.0,0.05266622778143515,0.23645586297760213
8,0.0,52.0,55.0,0.0547945205479452,0.08900964334915046
9,0.0,52.0,75.0,0.125,0.12128775722999291
10,0.0,52.0,57.0,0.0759493670886076,0.15816326530612246
11,0.0,52.0,16.0,0.049170954831332186,0.10014451302122535
12,0.0,52.0,53.0,0.14285714285714285,0.15928270042194093
13,0.0,52.0,77.0,0.14285714285714285,0.15928270042194093
14,0.0,52.0,39.0,0.14285714285714285,0.15748987854251012
15,0.0,52.0,99.0,0.07692307692307693,0.22114263505635445
16,0.0,52.0,17.0,0.09615384615384616,0.1409172343022344
17,0.0,52.0,28.0,0.07692307692307693,0.1949352236142896
18,0.0,52.0,31.0,0.03333333333333333,0.08422059297947342
19,0.0,52.0,88.0,0.041666666666666664,0.1584814510983502
20,0.0,52.0,78.0,0.05357142857142857,0.09651422863972577
21,0.0,52.0,38.0,0.08116883116883117,0.16279514717487714
22,0.0,52.0,15.0,0.038461538461538464,0.09155500242179324
23,0.0,52.0,34.0,0.09090909090909091,0.1111169047867348
24,0.0,52.0,86.0,0.09090909090909091,0.1111169047867348
25,0.0,52.0,67.0,0.034482758620689655,0.14161035349290998
26,0.0,52.0,87.0,0.1346153846153846,0.1317372661122661
27,0.0,52.0,50.0,0.05439327485380117,0.12767097030053248
28,0.0,52.0,37.0,0.0,0.2534246575342466
29,0.0,52.0,11.0,0.27906976744186046,0.5470207500475919
30,0.0,52.0,68.0,0.0,0.20896002932559
31,0.0,52.0,65.0,0.07142857142857142,0.16425504107542943
32,0.0,52.0,47.0,0.038461538461538464,0.14912280701754385
33,0.0,52.0,97.0,0.05357142857142857,0.095294807491479
34,0.0,52.0,3.0,0.07142857142857142,0.13940914301533125
35,0.0,52.0,64.0,0.1111111111111111,0.16567248338081672
36,0.0,52.0,40.0,0.0,0.2653846153846154
37,0.0,52.0,82.0,0.05555555555555555,0.2976971175842611
38,0.0,52.0,83.0,0.07547169811320754,0.32270788912579956
39,0.0,52.0,73.0,0.06797235023041474,0.3317776561101804
40,0.0,52.0,52.0,0.11320754716981132,0.5892857142857143
41,0.0,52.0,36.0,0.07692307692307693,0.3840725806451613
42,0.0,52.0,4.0,0.1349206349206349,0.34574594674996284
43,0.0,52.0,43.0,0.10526315789473684,0.3570707070707071
44,0.0,52.0,96.0,0.2803030303030303,0.33966861598440545
45,0.0,52.0,51.0,0.03571428571428571,0.27493949413614316
46,0.0,52.0,10.0,0.5328947368421053,0.41208333333333336
47,0.0,52.0,32.0,0.05,0.06142322097378277
48,0.0,52.0,12.0,0.09090909090909091,0.1747737556561086
49,0.0,52.0,35.0,0.6,0.5517241379310345
50,0.0,52.0,54.0,0.041666666666666664,0.14907407407407408
51,0.0,52.0,8.0,0.07692307692307693,0.11616625816993464
52,0.0,52.0,19.0,0.07142857142857142,0.16218778275782253
53,0.0,52.0,18.0,0.03571428571428571,0.0741781172625185
54,0.0,52.0,69.0,0.08116883116883117,0.16901499327763375
55,0.0,52.0,94.0,0.09821428571428571,0.08273629964806435
56,1.0,62.0,59.0,0.05,0.09845544554455446
57,1.0,62.0,23.0,0.5652173913043478,0.44595233841258497
58,1.0,62.0,58.0,0.03278688524590164,0.07582466949043769
59,1.0,62.0,13.0,0.043478260869565216,0.1721449641803624
60,1.0,62.0,80.0,0.18518518518518517,0.21836026077097506
61,1.0,62.0,98.0,0.25417130144605116,0.1926904598490048
62,1.0,62.0,62.0,1.0,0.7341920374707259
63,1.0,62.0,84.0,0.058823529411764705,0.07914915966386554
64,1.0,62.0,55.0,0.09230769230769231,0.09061004784688995
65,1.0,62.0,75.0,0.15384615384615385,0.2950546590317543
66,1.0,62.0,57.0,0.23529411764705882,0.6062271062271062
67,1.0,62.0,16.0,0.18205892088712347,0.26216265921423343
68,1.0,62.0,53.0,0.4375,0.3354014718986172
69,1.0,62.0,77.0,0.4375,0.3354014718986172
70,1.0,62.0,39.0,0.4375,0.3377508506184668
71,1.0,62.0,99.0,0.13636363636363635,0.1613628502248357
72,1.0,62.0,17.0,0.10266457680250783,0.31924563314056115
73,1.0,62.0,28.0,0.07272727272727272,0.15409803611023123
74,1.0,62.0,31.0,0.06060606060606061,0.1410216718266254
75,1.0,62.0,88.0,0.17647058823529413,0.3181214421252372
76,1.0,62.0,78.0,0.021739130434782608,0.16214789455665868
77,1.0,62.0,38.0,0.0625,0.20239959016393444
78,1.0,62.0,15.0,0.05555555555555555,0.23818177194588547
79,1.0,62.0,34.0,0.09523809523809523,0.24935330156569094
80,1.0,62.0,86.0,0.09523809523809523,0.24935330156569094
81,1.0,62.0,67.0,0.045408163265306126,0.23139659195624687
82,1.0,62.0,87.0,0.017857142857142856,0.11643393522178633
83,1.0,62.0,50.0,0.07317073170731707,0.3269483503354471
84,1.0,62.0,37.0,0.0,0.2239392990150012
85,1.0,62.0,11.0,0.08163265306122448,0.1367888748419722
86,1.0,62.0,68.0,0.0,0.17725275612301045
87,1.0,62.0,65.0,0.0,0.30571058120525396
88,1.0,62.0,47.0,0.0,0.1640926640926641
89,1.0,62.0,97.0,0.0,0.1866650048228184
90,1.0,62.0,3.0,0.0,0.2881670358104108
91,1.0,62.0,64.0,0.014925373134328358,0.1732634538679331
92,1.0,62.0,40.0,0.0,0.11810797897754419
93,1.0,62.0,82.0,0.047619047619047616,0.09672070744288871
94,1.0,62.0,83.0,0.03389830508474576,0.17840136054421768
95,1.0,62.0,73.0,0.036585365853658534,0.19452195726929364
96,1.0,62.0,52.0,0.1095890410958904,0.15136054421768708
97,1.0,62.0,36.0,0.045454545454545456,0.13586307524666758
98,1.0,62.0,4.0,0.041666666666666664,0.07291666666666667
99,1.0,62.0,43.0,0.06349206349206349,0.15158536585365853
100,1.0,62.0,96.0,0.09401709401709402,0.10562678062678062
