R1/R38,1.0
R1/R66,1.0
R4/R20,1.0
R4/R21,1.0
R4/R31,1.0
R4/R91,1.0
R6/R66,1.0
R6/R74,1.0
R7/R31,1.0
R9/R66,1.0
R18/R100,1.0
R24/R45,1.0
R24/R72,1.0
R30/R86,1.0
R31/R50,1.0
R31/R52,1.0
R31/R91,1.0
R35/R49,1.0
R36/R64,1.0
R38/R69,1.0
R38/R88,1.0
R40/R54,1.0
R40/R78,1.0
R42/R54,1.0
R42/R78,1.0
R45/R72,1.0
R49/R87,1.0
R54/R78,1.0
R65/R66,1.0
R66/R70,1.0
R66/R74,1.0
R66/R95,1.0
R21/R49,0.9717607973421927
R39/R49,0.9701986754966887
R49/R76,0.9671052631578947
R4/R98,0.9573170731707317
R16/R49,0.9479495268138801
R35/R87,0.9403508771929825
R24/R54,0.940251572327044
R24/R78,0.940251572327044
R54/R72,0.940251572327044
R72/R78,0.940251572327044
R86/R89,0.9368932038834952
R47/R49,0.927710843373494
R35/R76,0.9244127267320845
R76/R87,0.9244127267320845
R6/R7,0.9237252533739432
R6/R31,0.9237252533739432
R6/R50,0.9237252533739432
R6/R52,0.9237252533739432
R6/R91,0.9237252533739432
R31/R74,0.9237252533739432
R74/R91,0.9237252533739432
R50/R91,0.9161958568738229
R17/R54,0.9120603015075377
R17/R78,0.9120603015075377
R16/R35,0.9117338801549328
R16/R87,0.9117338801549328
R24/R40,0.9015151515151516
R1/R92,0.8992537313432836
R6/R92,0.8992537313432836
R9/R92,0.8992537313432836
R65/R92,0.8992537313432836
R66/R92,0.8992537313432836
R70/R92,0.8992537313432836
R74/R92,0.8992537313432836
R92/R95,0.8992537313432836
R4/R6,0.8985453972588353
R4/R66,0.8985453972588353
R7/R66,0.8985453972588353
R19/R66,0.8985453972588353
R20/R66,0.8985453972588353
R21/R66,0.8985453972588353
R31/R66,0.8985453972588353
R50/R66,0.8985453972588353
R52/R66,0.8985453972588353
R66/R79,0.8985453972588353
R66/R91,0.8985453972588353
R66/R98,0.8985453972588353
R16/R76,0.8957957296940348
R39/R76,0.8953703703703704
R35/R47,0.8912280701754386
R47/R87,0.8912280701754386
R30/R80,0.8888888888888888
R80/R86,0.8888888888888888
R52/R91,0.8842592592592593
R47/R76,0.8752899197145405
R40/R42,0.8708791208791209
R7/R91,0.8680555555555556
R16/R47,0.8626110731373888
R80/R89,0.8564814814814814
R16/R39,0.8528506787330317
R49/R98,0.837253193960511
R24/R58,0.8257142857142857
R45/R58,0.8257142857142857
R58/R72,0.8257142857142857
R17/R24,0.8220055806262703
R17/R40,0.819955038349643
R4/R50,0.8155021834061136
R40/R72,0.8149533723704185
R4/R92,0.8112239500687612
R7/R92,0.8112239500687612
R19/R92,0.8112239500687612
R20/R92,0.8112239500687612
R21/R92,0.8112239500687612
R31/R92,0.8112239500687612
R50/R92,0.8112239500687612
R52/R92,0.8112239500687612
R79/R92,0.8112239500687612
R91/R92,0.8112239500687612
R92/R98,0.8112239500687612
R4/R52,0.8055555555555556
R4/R79,0.802863436123348
R20/R31,0.8028169014084507
R20/R91,0.8028169014084507
R1/R4,0.8007595091809764
R7/R20,0.8
R20/R50,0.8
R20/R52,0.8
R16/R98,0.7980624400931124
R24/R42,0.7975905748959164
R4/R9,0.7967343519482719
R4/R7,0.7908163265306123
R17/R45,0.7876175548589341
R20/R95,0.7866284791803948
R4/R49,0.7862068965517242
R20/R21,0.7850877192982456
R20/R79,0.7827102803738317
R19/R20,0.78125
R50/R79,0.780990068280571
R4/R19,0.7799401197604791
R6/R95,0.7794117647058824
R3/R75,0.7790697674418605
R14/R48,0.7790697674418605
R3/R100,0.7745098039215687
R20/R98,0.7742718446601942
R68/R80,0.7722558340535869
R49/R72,0.7714932126696832
R1/R69,0.7697115430490749
R6/R65,0.7678571428571428
R31/R79,0.7661290322580645
R21/R98,0.7636831209160897
R6/R70,0.7635135135135135
R4/R35,0.7619903852157084
R4/R87,0.7619903852157084
R24/R90,0.7590348933813349
R72/R90,0.7590348933813349
R80/R94,0.7570422535211268
R6/R9,0.7564935064935066
R21/R31,0.7563694267515924
R1/R6,0.7563291139240507
R31/R98,0.7552083333333333
R79/R91,0.7546816479400749
R17/R92,0.752426814876851
R13/R14,0.75
R19/R31,0.75
R17/R66,0.7491324028668427
R68/R86,0.7478300228979179
R39/R47,0.7474509803921568
R4/R76,0.7460522347548103
R40/R90,0.7450828157349896
R42/R90,0.7450828157349896
R54/R90,0.7450828157349896
R78/R90,0.7450828157349896
R30/R89,0.7394992335206949
R50/R74,0.7382797908279992
R39/R87,0.7368653421633554
R76/R98,0.7350186323361145
R4/R16,0.7333733881776586
