Size,Fingerprint,Rank
1,M,5
2,M,5
3,M,6
4,M,6
5,M,13
6,M,13
1,R,3
2,R,5
3,R,5
4,R,15
5,R,26
6,R,26
1,AP,2
2,AP,4
3,AP,6
4,AP,13
5,AP,18
6,AP,18
