,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
0,0.0,52.0,59.0,0.08064516129032258,0.0952020202020202
1,0.0,52.0,23.0,0.14285714285714285,0.1630705792098197
2,0.0,52.0,58.0,0.043478260869565216,0.17172675521821631
3,0.0,52.0,13.0,0.0625,0.17307692307692307
4,0.0,52.0,80.0,0.18181818181818182,0.11801407141908934
5,0.0,52.0,98.0,0.20355731225296442,0.10528767761472163
6,0.0,52.0,62.0,0.14285714285714285,0.11720326884261312
7,0.0,52.0,84.0,0.065,0.23645586297760213
8,0.0,52.0,55.0,0.0625,0.08900964334915046
9,0.0,52.0,75.0,0.15384615384615385,0.12128775722999291
10,0.0,52.0,57.0,0.13513513513513514,0.15816326530612246
11,0.0,52.0,16.0,0.08382352941176471,0.10014451302122535
12,0.0,52.0,53.0,0.1,0.15928270042194093
13,0.0,52.0,77.0,0.1,0.15928270042194093
14,0.0,52.0,39.0,0.1,0.15748987854251012
15,0.0,52.0,99.0,0.1,0.22114263505635445
16,0.0,52.0,17.0,0.15416666666666667,0.1409172343022344
17,0.0,52.0,28.0,0.07407407407407407,0.1949352236142896
18,0.0,52.0,31.0,0.045454545454545456,0.08422059297947342
19,0.0,52.0,88.0,0.1,0.1584814510983502
20,0.0,52.0,78.0,0.1956521739130435,0.09651422863972577
21,0.0,52.0,38.0,0.10267857142857142,0.16279514717487714
22,0.0,52.0,15.0,0.05263157894736842,0.09155500242179324
23,0.0,52.0,34.0,0.1111111111111111,0.1111169047867348
24,0.0,52.0,86.0,0.1111111111111111,0.1111169047867348
25,0.0,52.0,67.0,0.0625,0.14161035349290998
26,0.0,52.0,87.0,0.10869565217391304,0.1317372661122661
27,0.0,52.0,50.0,0.21753246753246755,0.12767097030053248
28,0.0,52.0,37.0,0.0,0.2534246575342466
29,0.0,52.0,11.0,0.3333333333333333,0.5470207500475919
30,0.0,52.0,68.0,0.0,0.20896002932559
31,0.0,52.0,65.0,0.391304347826087,0.16425504107542943
32,0.0,52.0,47.0,0.06666666666666667,0.14912280701754385
33,0.0,52.0,97.0,0.1956521739130435,0.095294807491479
34,0.0,52.0,3.0,0.391304347826087,0.13940914301533125
35,0.0,52.0,64.0,0.30729166666666663,0.16567248338081672
36,0.0,52.0,40.0,0.4782608695652174,0.2653846153846154
37,0.0,52.0,82.0,0.14285714285714285,0.2976971175842611
38,0.0,52.0,83.0,0.14814814814814814,0.32270788912579956
39,0.0,52.0,73.0,0.25948196114708605,0.3317776561101804
40,0.0,52.0,52.0,0.2898550724637681,0.5892857142857143
41,0.0,52.0,36.0,0.2608695652173913,0.3840725806451613
42,0.0,52.0,4.0,0.26018099547511314,0.34574594674996284
