,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
50,0.0,52.0,54.0,0.041666666666666664,0.09972527472527473
51,0.0,52.0,8.0,0.19960391911611422,0.15305759754163153
52,0.0,52.0,19.0,0.3504273504273504,0.15544635042153424
53,0.0,52.0,18.0,0.1752136752136752,0.10453755883856276
54,0.0,52.0,69.0,0.3141025641025641,0.16212254477065843
55,0.0,52.0,94.0,0.1752136752136752,0.09665237207711336
56,1.0,62.0,59.0,0.0,0.13545163111508327
57,1.0,62.0,23.0,1.0,0.7535837660332443
58,1.0,62.0,58.0,0.0,0.11922528726619802
59,1.0,62.0,13.0,0.0,0.06357218746310943
60,1.0,62.0,80.0,0.0,0.1928776447433164
61,1.0,62.0,98.0,0.17218543046357615,0.17400852037774317
62,1.0,62.0,62.0,1.0,0.9089304340611146
63,1.0,62.0,84.0,0.0,0.09000449458324224
64,1.0,62.0,55.0,0.0,0.14264051650552687
65,1.0,62.0,75.0,0.0,0.38333926866027357
66,1.0,62.0,57.0,0.5827814569536424,0.8991578014184397
67,1.0,62.0,16.0,0.4231392500471076,0.35205488220890113
68,1.0,62.0,53.0,0.9473684210526315,0.6387992777875797
69,1.0,62.0,77.0,0.9473684210526315,0.6387992777875797
70,1.0,62.0,39.0,0.9473684210526315,0.5355126591305214
71,1.0,62.0,99.0,0.0,0.08477882318003266
72,1.0,62.0,17.0,0.0,0.3353680268312588
73,1.0,62.0,28.0,0.0,0.15666114964806876
74,1.0,62.0,31.0,0.0,0.23278073650711179
75,1.0,62.0,88.0,0.4245810055865922,0.5310196706978044
76,1.0,62.0,78.0,0.0,0.2209586765843805
77,1.0,62.0,38.0,0.0,0.2517190926915191
78,1.0,62.0,15.0,0.0,0.37226692920340004
79,1.0,62.0,34.0,0.0,0.3704323242827409
80,1.0,62.0,86.0,0.0,0.3704323242827409
81,1.0,62.0,67.0,0.0,0.31907940017824676
82,1.0,62.0,87.0,0.0,0.2580665451072026
83,1.0,62.0,50.0,0.0,0.4201664521122991
84,1.0,62.0,37.0,0.0,0.5120665467763276
85,1.0,62.0,11.0,0.0,0.2102986279430509
86,1.0,62.0,68.0,0.0,0.39627381507407955
87,1.0,62.0,65.0,0.0,0.4679243739224453
88,1.0,62.0,47.0,0.0,0.043675582927352394
89,1.0,62.0,97.0,0.0,0.2471465688243097
90,1.0,62.0,3.0,0.0,0.3684725473505901
91,1.0,62.0,64.0,0.0,0.24016053406866067
92,1.0,62.0,40.0,0.0,0.05076241833202576
93,1.0,62.0,82.0,0.0,0.058067151252940416
94,1.0,62.0,83.0,0.0,0.09107976240984303
95,1.0,62.0,73.0,0.0,0.24344085994700465
96,1.0,62.0,52.0,0.0,0.17777777777777778
97,1.0,62.0,36.0,0.0,0.14104943664590475
98,1.0,62.0,4.0,0.0,0.02699201545795875
99,1.0,62.0,43.0,0.0,0.16637802505500102
100,1.0,62.0,96.0,0.0,0.12522187364852208
101,1.0,62.0,51.0,0.0,0.22302389397568484
102,1.0,62.0,10.0,0.0,0.019138815574192773
103,1.0,62.0,32.0,0.0,0.14437999713956043
104,1.0,62.0,12.0,0.0,0.08968784076990768
105,1.0,62.0,35.0,0.0,0.0006934812760055479
106,1.0,62.0,54.0,0.0,0.14123003481674853
107,1.0,62.0,8.0,0.0,0.31329199755845727
108,1.0,62.0,19.0,0.0,0.33844654675984237
109,1.0,62.0,18.0,0.0,0.22761618574188963
110,1.0,62.0,69.0,0.0,0.23635072199306978
111,1.0,62.0,94.0,0.0,0.2395177425167782
112,2.0,62.0,59.0,0.0,0.14484164461743404
113,2.0,62.0,23.0,1.0,0.7393412631363416
114,2.0,62.0,58.0,0.0,0.1225427541299975
115,2.0,62.0,13.0,0.0,0.06281358580361317
116,2.0,62.0,80.0,0.0,0.1652505597069171
117,2.0,62.0,98.0,0.17218543046357615,0.16582636611112495
118,2.0,62.0,62.0,1.0,0.7590910911556332
119,2.0,62.0,84.0,0.0,0.09056861967329424
120,2.0,62.0,55.0,0.0,0.1455858828971101
121,2.0,62.0,75.0,0.0,0.39847703051153016
122,2.0,62.0,57.0,0.5827814569536424,0.8676229508196721
123,2.0,62.0,16.0,0.4231392500471076,0.35383479020670683
124,2.0,62.0,53.0,0.9473684210526315,0.6263837231797438
125,2.0,62.0,77.0,0.9473684210526315,0.6263837231797438
126,2.0,62.0,39.0,0.9473684210526315,0.5243690122372514
127,2.0,62.0,99.0,0.0,0.08330064426236196
128,2.0,62.0,17.0,0.0,0.2917277533576025
129,2.0,62.0,28.0,0.0,0.17632900326324072
130,2.0,62.0,31.0,0.0,0.21026009613224925
131,2.0,62.0,88.0,0.4245810055865922,0.4828647500266474
132,2.0,62.0,78.0,0.0,0.23746374226376055
133,2.0,62.0,38.0,0.0,0.2628676061739047
134,2.0,62.0,15.0,0.0,0.3881994031810659
